cstno,is_churned,age,sex,dependent_num,education,marital_stat,imcome_cat,card_type,mon_on_book,tot_product_count,months_inact_for_12m,contact_cnt_for_12m,credit_line,tot_revol_balance,mean_open_to_buy,tot_amt_ratio_q4_q1,tot_trans_amt_for_12m,tot_trans_cnt_for_12m,tot_cnt_ratio_q4_q1,mean_util_pct
708147108,0,26,M,0,Graduate,Divorced,Unknown,Blue,36,6,1,3,21084,2517,18567,0.763,2309,,0.543,0.119
708148158,0,39,F,4,Unknown,Married,Unknown,Blue,21,2,3,2,1827,0,1827,0.563,4207,,0.792,
708151008,0,49,F,4,Graduate,Married,$40K - $60K,Blue,41,5,1,2,6250,,5606,,2433,41,,
708153558,0,46,,5,Doctorate,Divorced,$120K +,Blue,31,1,2,2,34516,1802,32714,0.871,7936,101,0.485,
708154833,1,39,F,2,Graduate,Single,Less than $40K,Blue,27,1,3,3,1438.3,811,627.3,,2336,,0.278,0.564
708155733,0,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734,1634,13100,0.989,1289,23,0.917,0.111
708158133,1,45,M,3,College,Married,$80K - $120K,Blue,36,3,2,2,3031,2517,514,0.409,2188,,0.389,0.83
708161133,0,45,M,1,Graduate,Single,,Blue,32,5,1,2,6629,,5240,0.828,3891,69,0.643,0.21
708162558,0,64,F,0,Uneducated,Married,Unknown,Blue,54,6,1,2,3250,1992,1258,,1355,,0.565,0.613
708163758,0,41,M,3,Unknown,Married,$120K +,Blue,33,2,4,3,34516,638,33878,0.724,13085,139,0.675,0.018
708171858,0,33,F,3,Post-Graduate,Married,$40K - $60K,Blue,28,5,2,3,1864,1081,783,,2607,44,1.75,0.58
708174708,0,38,M,4,Graduate,Married,$40K - $60K,Blue,27,6,2,4,5535,,4259,0.636,,,,0.231
708176208,0,48,F,1,Graduate,Married,,Blue,36,4,4,1,7268,0,7268,,,80,0.905,
708177333,0,51,F,2,High School,Married,,Silver,36,5,3,0,11261,,8776,0.736,1158,26,0.857,
708178608,0,31,F,0,Graduate,Married,Unknown,Blue,36,4,2,2,2488,0,2488,1.05,4226,,,
708186933,1,33,M,1,Graduate,Single,,Blue,36,4,3,2,1819,725,1094,0.737,2254,45,0.406,
708190158,1,38,F,3,High School,Single,,Blue,26,2,3,0,2920,2426,494,0.983,2750,41,0.367,0.831
708193008,0,41,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,3,4,14480,0,14480,0.703,1616,43,0.654,0
708195633,0,40,M,2,High School,Unknown,$80K - $120K,Silver,32,5,2,3,34516,1182,33334,0.613,2440,54,0.543,
708197358,1,57,M,2,Uneducated,Unknown,$80K - $120K,Blue,48,4,1,3,30543,264,30279,0.882,,,0.703,0.009
708204033,0,36,F,5,Unknown,Single,Less than $40K,Blue,24,3,1,1,2980,2093,887,0.522,4132,70,,0.702
708205083,0,38,F,1,High School,Married,Less than $40K,Blue,28,6,4,3,1438.3,0,1438.3,0.767,,81,,
708207783,0,50,F,3,High School,Single,Less than $40K,Blue,42,1,3,2,1477,0,1477,0.685,,80,,
708208758,0,53,M,1,Graduate,Single,$80K - $120K,Blue,45,6,3,2,1826,,943,,,48,1,0.484
708212658,0,38,F,3,Graduate,Married,Less than $40K,Blue,18,6,3,2,2193,1260,933,,,47,0.567,0.575
708216108,0,56,,1,College,Married,$40K - $60K,Blue,44,5,1,4,4088,,2531,,,,0.857,0.381
708217758,0,63,M,2,Graduate,Married,$60K - $80K,Blue,49,5,2,3,14035,2061,11974,2.271,1606,30,1.5,0.147
708219108,0,49,M,3,College,Divorced,$80K - $120K,Blue,38,2,3,3,9959,1143,8816,,7300,77,0.638,0.115
708223383,1,47,F,3,High School,Married,Unknown,Blue,39,6,3,4,11410,979,10431,1.049,2736,38,0.462,0.086
708224133,0,61,M,0,Uneducated,Single,,Blue,49,1,2,3,2228,1480,748,0.533,4431,,0.651,0.664
708225483,0,47,M,4,Graduate,Married,$80K - $120K,Blue,36,3,2,4,11242,,9681,0.829,,81,0.8,0.139
708226833,0,53,M,1,High School,Married,$120K +,Gold,44,1,6,3,34516,831,33685,0.727,13247,,0.754,
708229308,1,49,F,2,Unknown,Married,Less than $40K,Blue,41,5,2,2,3243,0,3243,,6059,,0.821,0
708234558,0,55,,2,College,Divorced,Less than $40K,Blue,43,5,2,1,2239,,899,0.658,4540,73,0.587,
708238833,0,57,F,3,High School,Married,Less than $40K,Blue,36,6,2,3,3032,2215,817,,1387,30,0.579,0.731
708241233,1,52,F,3,Post-Graduate,Single,Less than $40K,Blue,47,3,3,2,2972,0,2972,1.035,922,25,0.562,0
708242283,0,29,M,1,College,Single,,Blue,36,5,3,2,5346,0,5346,,3253,,,0
708243483,0,53,M,3,College,Married,$120K +,Blue,43,4,2,5,14938,1155,13783,0.995,2248,,,0.077
708244458,0,47,,2,Unknown,Married,Less than $40K,Blue,35,3,3,2,2793,1517,1276,0.712,3485,,0.895,0.543
708245808,0,35,M,3,Graduate,Married,$60K - $80K,Blue,36,4,1,4,19671,,18747,0.82,13908,124,0.676,0.047
708252108,0,64,M,0,College,Single,$40K - $60K,Blue,53,6,3,2,7362,1907,5455,0.693,4065,,0.711,0.259
708260208,0,43,F,5,Uneducated,Single,Less than $40K,Blue,36,4,3,2,2057,1279,778,0.562,4321,,0.689,
708266883,1,34,F,2,Graduate,Single,,Blue,36,1,2,3,1666,0,1666,0.713,2312,,0.25,
708267858,0,65,F,0,High School,Married,$40K - $60K,Blue,36,5,2,3,6088,2145,3943,1.371,2098,,,
708269583,0,42,F,3,Uneducated,Divorced,Less than $40K,Blue,28,6,2,4,2029,1377,652,,4014,,0.686,0.679
708272808,0,45,M,5,Graduate,Single,Less than $40K,Blue,36,4,2,1,2718,,1244,,3542,59,0.639,0.542
708273858,0,40,M,3,Graduate,Divorced,$120K +,Blue,30,3,2,1,34516,,34516,,3734,80,0.86,0
708276183,1,52,F,3,Post-Graduate,Married,Less than $40K,Blue,45,2,4,1,1760,0,1760,0.046,1554,,0.029,0
708281433,0,57,,2,Graduate,Married,Less than $40K,Blue,36,5,1,3,1438.3,0,1438.3,,3848,75,0.705,0
708285108,0,42,M,4,Graduate,Single,$40K - $60K,Blue,36,1,1,2,6128,2239,3889,,13505,116,,
708286683,0,57,M,2,Uneducated,Single,$80K - $120K,Blue,43,6,3,1,12045,1749,10296,,4884,,,
708288108,1,43,M,4,Post-Graduate,Unknown,$80K - $120K,Blue,30,2,5,3,5639,1547,4092,1.087,,15,0.364,0.274
708290208,0,43,F,3,High School,Married,,Silver,31,3,3,4,13608,1190,12418,0.553,3118,,0.767,0.087
708292833,0,35,M,2,High School,Single,,Blue,36,4,2,3,27389,1250,26139,0.641,2754,,0.463,0.046
708298233,1,49,F,3,Graduate,Married,Less than $40K,Blue,37,4,2,1,6184,0,6184,0.476,,,0.324,0
708301683,1,40,M,2,Uneducated,Married,$80K - $120K,Blue,30,6,2,3,20798,1059,19739,1.049,8038,,0.837,
708303108,0,50,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,0,1770,1706,64,0.626,4940,,0.774,0.964
708313608,0,53,M,3,Unknown,Married,$80K - $120K,Blue,43,5,3,0,2464,2116,348,0.744,,,1.048,0.859
708314808,0,53,F,2,College,Married,Unknown,Blue,41,5,1,3,5659,1393,4266,0.436,1570,40,0.6,
708316008,1,59,F,1,Graduate,Single,Unknown,Blue,36,3,2,3,10031,0,10031,,1792,,,0
708319908,1,37,M,3,Graduate,Single,$80K - $120K,Blue,17,1,1,2,4116,,2643,,8667,70,0.892,0.358
708323208,1,49,F,3,Uneducated,Married,Less than $40K,Blue,36,4,2,4,1522,,1522,0.482,2241,,0.8,0
708330858,1,57,M,3,Graduate,Married,,Blue,38,2,3,3,8249,1381,6868,0.798,678,11,0.833,
708331758,0,47,F,2,Uneducated,Divorced,Unknown,Silver,35,3,1,4,32444,,30601,1.127,3725,60,0.622,0.057
708332808,0,47,M,2,Uneducated,Married,$40K - $60K,Blue,39,2,2,2,3471,0,3471,,14381,115,0.742,
708334158,0,46,,3,Graduate,Divorced,Less than $40K,Blue,34,4,2,4,9863,686,9177,,3068,,0.933,
708338958,0,58,F,1,Graduate,Single,Less than $40K,Blue,36,5,1,1,3173,1713,1460,0.609,3797,,0.786,0.54
708340758,1,41,M,4,High School,Married,Less than $40K,Blue,32,2,3,3,7769,0,7769,,8109,74,0.762,0
708347583,0,37,F,4,Uneducated,Married,Less than $40K,Blue,36,4,1,4,2509,1144,1365,0.692,1804,38,0.583,0.456
708358683,0,46,M,2,Graduate,Married,$80K - $120K,Silver,35,6,3,2,34516,,33280,,1665,,0.667,0.036
708360108,0,50,M,1,College,Single,$40K - $60K,Blue,41,3,1,1,2800,,1462,0.818,4869,,0.8,
708361833,0,44,M,4,Graduate,Married,$80K - $120K,Blue,36,3,2,3,19430,0,19430,1.012,3650,80,0.633,0
708367908,0,56,F,1,Uneducated,Married,Less than $40K,Blue,47,6,1,2,3022,,1395,,4390,82,0.783,0.538
708369633,1,34,F,3,Graduate,Married,Less than $40K,Gold,36,6,3,2,15487,1847,13640,0.943,7031,67,,0.119
708373083,1,40,F,4,Unknown,Married,$40K - $60K,Blue,30,1,3,4,3356,2517,839,,2032,39,,0.75
708376983,1,58,F,1,Unknown,Single,Unknown,Blue,50,5,2,2,8513,,7714,,2119,37,0.542,0.094
708378108,0,39,F,1,Post-Graduate,Married,$40K - $60K,Blue,36,5,3,2,2147,,1376,0.69,4631,76,0.767,
708382083,0,49,M,5,High School,Married,$80K - $120K,Blue,36,6,2,2,2292,0,2292,0.976,2584,,0.5,
708384033,1,45,F,3,Uneducated,Married,Less than $40K,Blue,35,3,3,3,2745,2463,282,0.643,2466,39,0.345,0.897
708385533,1,49,F,1,Graduate,Married,,Silver,36,2,3,3,11059,0,11059,,,,0.905,0
708386958,1,47,F,3,Unknown,Married,Less than $40K,Blue,34,3,3,2,1561,0,1561,,1947,28,0.556,0
708387933,0,49,F,2,Post-Graduate,Married,Less than $40K,Blue,37,2,1,2,5500,,5500,0.675,14357,110,0.618,0
708390633,0,52,F,3,Graduate,Married,Less than $40K,Blue,44,5,5,3,2421,2312,109,,4219,69,,0.955
708393633,0,41,F,0,High School,Married,Less than $40K,Blue,31,4,2,4,2685,1647,1038,0.812,4625,94,0.516,0.613
708396033,0,45,F,2,Uneducated,Married,,Blue,27,1,2,2,2490,1059,1431,0.715,,,,
708397008,0,54,F,4,Graduate,Married,Unknown,Blue,43,3,2,3,3805,821,2984,,4326,67,0.811,0.216
708398283,0,37,,1,Graduate,Married,,Blue,29,5,2,2,4394,,3509,1.04,1377,32,0.684,0.201
708399858,0,45,F,3,High School,Married,Less than $40K,Blue,35,2,2,1,2548,2250,298,0.581,4747,77,0.791,0.883
708403308,0,37,M,3,Unknown,Single,$40K - $60K,Silver,24,3,1,3,15133,1663,13470,,4392,,0.511,0.11
708406083,0,35,,0,Unknown,Married,Less than $40K,Blue,24,5,3,1,3436,2493,943,,5211,90,,0.726
708412758,1,33,F,3,Graduate,Single,Less than $40K,Blue,36,5,2,3,1457,,1457,0.677,2200,45,0.364,0
708414033,0,50,M,4,Graduate,Married,$40K - $60K,Blue,38,6,3,3,2845,1153,1692,,,,0.941,
708416433,1,41,F,1,High School,Single,Less than $40K,Blue,36,4,3,2,2372,0,2372,0.597,2499,41,,0
708419733,1,47,M,3,College,Single,,Blue,39,5,3,2,22599,0,22599,1.039,4739,,0.486,0
708421833,0,45,F,4,Graduate,Single,Less than $40K,Blue,36,6,3,2,3342,2517,825,0.771,1139,30,0.765,0.753
708423933,0,51,M,2,Doctorate,Single,$40K - $60K,Blue,40,3,2,0,6103,,6103,0.532,3203,64,0.829,
708426483,0,56,F,2,Graduate,Single,Less than $40K,Blue,36,4,6,1,5816,,5100,,3534,73,1.147,0.123
708427908,0,52,,4,College,Unknown,Less than $40K,Blue,39,6,3,1,2035,1343,692,0.835,4643,,,
708428958,0,39,M,2,Unknown,Single,$80K - $120K,Gold,33,1,3,2,34516,0,34516,0.724,9179,113,0.766,
708431433,0,41,M,3,Graduate,Married,$120K +,Blue,31,3,3,2,11789,1420,10369,0.659,1463,,0.684,0.12
708434733,0,56,M,1,Graduate,Married,$60K - $80K,Blue,50,6,3,3,6735,2289,4446,,1249,28,0.75,0.34
708438033,0,36,F,2,Unknown,Married,Less than $40K,Blue,27,3,3,4,3049,2198,851,,2617,,1,
708442158,0,51,F,1,College,Married,Unknown,Blue,38,3,2,4,6182,1516,4666,1.137,,61,0.968,0.245
708445608,0,48,M,3,College,Married,Less than $40K,Blue,37,4,3,3,3305,2517,788,0.766,2027,,1.036,0.762
708447858,0,59,F,2,Uneducated,Married,Less than $40K,Blue,36,6,3,2,3850,,3850,0.509,15107,,0.918,0
708450033,0,43,F,3,High School,Unknown,,Blue,13,6,2,1,2605,2269,336,0.881,5298,,,
708451233,0,46,F,3,Graduate,Unknown,Less than $40K,Blue,36,5,3,4,5090,1650,3440,0.58,3707,72,0.44,
708453408,0,40,M,4,College,Divorced,$80K - $120K,Blue,31,6,2,3,16050,0,16050,0.77,3721,62,0.512,
708455883,1,57,M,1,Graduate,Single,$80K - $120K,Blue,36,2,3,2,10244,,9383,0.78,1127,29,0.381,0.084
708459633,0,38,M,2,High School,Married,,Blue,26,4,1,3,5815,1698,4117,0.896,1604,,0.448,0.292
708462258,0,51,F,1,High School,Married,Less than $40K,Blue,38,1,1,2,5189,1171,4018,0.732,16563,94,0.741,0.226
708469533,0,42,F,3,Unknown,Married,,Blue,34,6,3,2,5395,1439,3956,,3523,79,0.717,
708472008,0,44,F,3,Uneducated,Married,Less than $40K,Blue,36,2,3,3,6680,1839,4841,0.617,7632,95,,0.275
708473133,0,55,F,1,Graduate,Married,Less than $40K,Blue,45,4,2,3,1677,0,1677,0.824,4588,,0.7,0
708474333,0,42,,3,Graduate,Married,$60K - $80K,Blue,29,3,3,1,12294,2517,9777,0.775,7906,,0.611,
708476808,0,54,M,4,Unknown,Divorced,,Blue,36,6,3,2,33791,1960,31831,0.618,1047,,0.824,0.058
708478233,0,48,,3,Graduate,Married,$40K - $60K,Blue,36,4,2,2,5573,1238,4335,0.624,4348,90,0.837,
708480333,0,65,M,0,Unknown,Single,$40K - $60K,Blue,36,5,2,3,2163,932,1231,1.127,,57,0.839,0.431
708482658,0,41,M,3,Graduate,Married,$80K - $120K,Blue,31,3,2,2,9959,1946,8013,,15594,114,0.676,0.195
708483708,0,51,M,2,Unknown,Married,$120K +,Blue,36,5,3,2,28600,0,28600,,4336,66,,
708486033,0,55,F,3,Post-Graduate,Married,Unknown,Blue,36,3,2,3,16547,1521,15026,0.555,1782,,0.333,0.092
708491508,0,51,M,2,Unknown,Single,$60K - $80K,Blue,42,3,3,2,13906,1430,12476,0.772,,,,
708492558,0,42,M,3,Unknown,Married,$60K - $80K,Blue,36,5,3,3,15088,865,14223,0.939,,,,0.057
708496833,1,60,M,1,High School,Single,Less than $40K,Blue,50,4,4,5,4613,0,4613,0.978,,,1.294,0
708498033,1,44,F,3,Unknown,Married,,Blue,36,3,4,6,2279,1837,442,0.853,,52,,0.806
708499608,0,49,M,5,Post-Graduate,Single,$40K - $60K,Silver,36,6,1,2,15525,1299,14226,,,78,,0.084
708501783,1,43,M,2,High School,Married,,Blue,36,6,2,4,34516,1477,33039,0.324,1868,40,0.212,0.043
708502908,0,61,M,2,High School,Single,$60K - $80K,Silver,48,5,2,3,26218,,26218,0.74,,,0.833,0
708504783,0,47,,3,Uneducated,Unknown,,Blue,36,3,3,3,10960,1333,9627,0.678,3480,,0.632,0.122
708506508,0,54,M,3,High School,Married,$120K +,Blue,43,5,3,2,2884,,1740,0.783,4887,,,0.397
708507483,0,43,F,3,College,Divorced,Less than $40K,Blue,31,6,4,3,1477,,1477,0.756,4802,82,0.864,0
708508758,1,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0
708511983,0,37,M,3,Graduate,Married,,Blue,18,5,3,2,1663,0,1663,0.778,3950,82,,
708513183,0,39,M,1,Uneducated,Married,$40K - $60K,Blue,29,4,2,2,4323,1267,3056,1.102,3078,58,,0.293
708514383,0,38,F,2,College,Married,,Blue,29,2,1,0,3809,1172,2637,,,81,0.976,0.308
708515358,0,40,F,1,High School,Married,Less than $40K,Blue,36,6,3,2,4712,0,4712,0.84,,,0.64,
708516558,0,37,F,2,High School,Married,Less than $40K,Blue,36,3,2,1,2588,1782,806,0.546,4159,83,0.766,
708519108,1,46,F,1,Graduate,Married,Unknown,Blue,24,3,3,2,2694,1576,1118,0.494,2041,57,0.9,0.585
708522033,0,50,M,2,College,Married,$60K - $80K,Blue,36,2,2,1,12299,,10635,0.879,15060,,,0.135
708525108,0,54,F,2,Graduate,Married,Unknown,Blue,47,4,3,3,2156,1134,1022,,4120,,0.711,0.526
708532308,0,37,M,2,Uneducated,Single,$60K - $80K,Blue,36,4,2,2,11419,2517,8902,1.211,3000,,1.059,0.22
708534033,0,45,F,3,Graduate,Single,$40K - $60K,Blue,36,5,2,2,6274,883,5391,0.626,4726,,0.708,0.141
708535158,0,39,M,2,Post-Graduate,Unknown,$80K - $120K,Blue,29,1,1,3,9959,1501,8458,,,86,0.536,
708536283,1,35,M,1,Doctorate,Single,$80K - $120K,Blue,27,3,2,2,2904,2517,387,,,46,0.586,0.867
708539583,0,44,F,3,Unknown,Married,Unknown,Blue,25,6,1,3,19897,2232,17665,0.672,,,0.5,
708542283,0,58,F,1,Doctorate,Married,Less than $40K,Blue,47,5,3,4,2495,2061,434,0.849,,70,0.707,0.826
708543258,0,36,M,3,High School,Married,$80K - $120K,Blue,36,5,3,2,2607,1880,727,1.464,2045,,0.95,
708545058,0,45,F,2,Graduate,Single,$40K - $60K,Blue,36,5,4,3,1438.3,986,452.3,0.649,5136,81,0.8,0.686
708549033,0,50,F,1,High School,Married,Less than $40K,Blue,32,4,1,3,2055,1276,779,0.869,5025,,0.707,
708555633,0,32,F,1,High School,Single,Less than $40K,Blue,16,2,3,1,3548,2517,1031,,15157,97,0.865,0.709
708557358,0,43,M,2,College,Married,$60K - $80K,Blue,28,4,2,3,22157,1355,20802,0.69,1911,55,0.571,0.061
708558408,0,50,M,3,High School,Single,$40K - $60K,Blue,31,5,3,3,9949,1597,8352,0.659,,,0.596,0.161
708559533,0,40,M,1,Uneducated,Married,$80K - $120K,Blue,36,6,3,2,1770,584,1186,,,83,0.844,
708560733,0,42,F,3,Graduate,Divorced,Less than $40K,Blue,36,5,2,3,3714,2517,1197,,4715,85,,0.678
708563433,1,65,F,0,High School,Single,,Blue,56,3,6,3,5894,,5417,1.015,1616,32,0.455,0.081
708564858,1,33,M,2,College,Married,$120K +,Gold,20,2,1,4,34516,0,34516,1.004,9338,73,0.622,
708568983,0,40,M,3,High School,Married,$60K - $80K,Blue,28,2,3,1,11476,2365,9111,0.65,8110,,0.766,0.206
708572658,0,49,M,5,Graduate,Married,$60K - $80K,Silver,38,1,1,2,29531,2088,27443,0.843,15039,120,0.69,0.071
708573933,0,45,F,2,Unknown,Single,,Silver,36,2,2,3,13026,,12237,0.74,14747,,,0.061
708575058,1,46,F,3,Uneducated,Divorced,$40K - $60K,Blue,39,2,3,2,3157,965,2192,,3300,58,,
708577308,0,43,F,1,Unknown,Divorced,Less than $40K,Blue,36,4,2,3,2637,1272,1365,0.728,,39,1.053,
708579633,0,40,M,4,Unknown,Divorced,$40K - $60K,Gold,28,4,2,2,23981,1788,22193,0.631,1421,,0.308,0.075
708580908,0,56,M,3,High School,Married,$60K - $80K,Blue,37,3,3,3,14551,,12034,0.92,,35,0.591,0.173
708582858,0,38,M,3,Graduate,Single,$60K - $80K,Blue,25,3,3,4,18293,0,18293,,2958,63,0.432,0
708584208,1,36,F,2,Graduate,Unknown,Less than $40K,Blue,36,5,2,4,3111,2517,594,0.646,,41,,
708585933,0,44,F,4,High School,Single,,Blue,36,6,2,3,1656,1429,227,,4258,77,0.75,0.863
708588408,0,53,M,3,Uneducated,Single,,Blue,36,6,2,2,6836,1607,5229,0.524,4421,74,0.542,0.235
708593883,0,39,M,2,College,Married,$60K - $80K,Blue,26,3,1,4,2731,,1158,0.943,1813,,0.727,0.576
708595158,0,27,F,0,Graduate,Single,Less than $40K,Blue,36,6,1,2,1677,,79,0.994,2389,,0.536,
708596283,0,35,,3,Uneducated,Single,,Blue,23,3,2,2,2858,1251,1607,0.576,2844,73,0.622,0.438
708600033,0,46,M,2,Graduate,Married,$40K - $60K,Blue,39,4,3,1,1610,,1610,0.689,,87,0.776,0
708602283,0,40,F,4,Uneducated,Married,,Blue,36,3,3,1,2887,0,2887,0.581,,,1.158,
708606633,1,56,F,3,Graduate,Married,$40K - $60K,Blue,44,6,3,4,1544,0,1544,0.315,1902,,0.4,0
708611733,0,42,F,1,College,Married,,Blue,33,4,4,3,3119,1328,1791,0.967,4659,82,,
708614058,0,56,F,2,Graduate,Divorced,Less than $40K,Blue,45,4,2,4,1960,1690,270,0.63,,67,0.558,
708615183,0,44,M,2,Unknown,Married,,Blue,34,4,4,4,3828,1146,2682,,4558,,0.636,0.299
708618933,0,34,M,2,Uneducated,Single,,Blue,13,6,3,2,4369,2049,2320,,3259,,0.6,0.469
708620283,0,35,M,1,Unknown,Single,,Blue,25,6,3,2,6053,2001,4052,,2208,59,0.595,
708621408,0,39,F,1,Unknown,Single,Less than $40K,Blue,28,3,2,1,1438.3,0,1438.3,0.799,4173,82,0.64,0
708623283,0,35,M,2,Uneducated,Single,$60K - $80K,Blue,16,6,3,2,18278,0,18278,0.798,,61,,0
708626058,0,49,F,2,Uneducated,Married,Less than $40K,Blue,34,6,2,4,5242,1465,3777,1.025,4098,68,0.789,0.279
708637758,0,49,F,3,Graduate,Single,Unknown,Blue,37,4,3,4,17345,,16800,0.905,3523,,0.829,0.031
708646233,0,44,F,1,Unknown,Divorced,Unknown,Blue,36,3,2,1,17116,1289,15827,0.559,3632,,,0.075
708649683,0,51,M,2,High School,Single,$60K - $80K,Blue,42,1,3,2,16703,1140,15563,0.555,,,0.768,0.068
708651933,0,56,M,2,Graduate,Married,$60K - $80K,Blue,44,3,1,2,2043,1928,115,0.791,2311,,,0.944
708652908,0,47,F,5,Uneducated,Married,Less than $40K,Blue,36,1,6,1,2291,1419,872,,4498,81,0.761,0.619
708653958,1,38,M,3,College,Married,$60K - $80K,Blue,36,5,2,2,6114,1461,4653,,,36,0.385,
708654933,1,51,F,2,Doctorate,Married,,Platinum,42,3,2,3,15987,193,15794,,2021,,0.394,0.012
708655983,0,49,F,3,High School,Divorced,,Blue,40,3,3,2,5267,,5267,0.442,1353,,,
708657033,0,60,F,2,College,Single,Less than $40K,Blue,54,5,3,2,2694,1923,771,0.714,3837,71,0.732,0.714
708664008,0,57,M,3,College,Married,,Blue,45,6,3,4,14270,0,14270,0.398,1222,37,0.423,0
708665133,0,40,M,2,Graduate,Married,$80K - $120K,Blue,28,6,2,3,3654,1172,2482,,4003,67,0.595,0.321
708666258,0,43,M,4,Unknown,Married,,Blue,36,5,3,0,8129,1799,6330,,1402,33,0.737,0.221
708668283,0,39,M,2,Graduate,Married,$80K - $120K,Blue,22,5,4,2,5140,,2623,0.876,,36,,0.49
708669408,0,54,M,5,College,Single,$60K - $80K,Blue,45,6,1,3,20401,0,20401,0.723,4637,75,0.562,
708670608,0,48,F,5,Uneducated,Married,Unknown,Blue,36,4,2,3,5495,2200,3295,0.696,5125,85,0.771,
708671733,0,48,M,4,Graduate,Married,$60K - $80K,Blue,36,2,3,3,2072,1499,573,0.598,4091,,0.651,0.723
708672708,0,49,M,4,High School,Unknown,$80K - $120K,Blue,31,2,3,3,34516,,31999,,3990,,1.031,0.073
708679383,0,44,F,2,Unknown,Unknown,Less than $40K,Blue,32,5,1,3,4852,1777,3075,,1775,55,1.037,0.366
708680583,0,53,F,1,Graduate,Married,$40K - $60K,Blue,36,4,1,2,2043,1590,453,0.618,,68,0.619,
708681708,1,51,F,2,Unknown,Single,Less than $40K,Blue,43,5,3,2,3245,0,3245,0.553,1977,,0.261,
708682908,0,43,F,4,Unknown,Single,Unknown,Blue,28,2,2,1,2838,1934,904,0.873,,87,0.554,0.681
708687483,1,54,,4,Graduate,Single,Less than $40K,Silver,36,3,2,3,13626,0,13626,0.411,1711,30,0.25,
708688608,0,62,F,1,High School,Married,Less than $40K,Blue,48,5,3,1,3140,1985,1155,1.346,1626,41,0.864,
708689958,0,48,F,4,Unknown,Unknown,Less than $40K,Blue,36,4,3,2,2406,1744,662,,4748,,0.692,0.725
